Team,City,State,Venue,League,Abbv,image_file
Celtics,Boston,Massachusetts,TD Garden,NBA,bos,celtics
Nets,Brooklyn,New York,Barclays Center,NBA,bkn,nets
Knicks,New York,New York,Madison Square Garden,NBA,ny,knicks
76ers,Philadelphia,Pennsylvania,Wells Fargo Center,NBA,phi,76ers
Raptors,Toronto,Ontario,Air Canada Centre,NBA,tor,raptors
Bulls,Chicago,Illinois,United Center,NBA,chi,bulls
Cavaliers,Cleveland,Ohio,Quicken Loans Arena,NBA,cle,cavaliers
Pistons,Detriot,Michigan,The Palace of Auburn Hills,NBA,det,pistons
Pacers,Indianapolis,Indiana,Bankers Life Fieldhouse,NBA,ind,pacers
Bucks,Milwaukee,Wisconsin,Bradley Center,NBA,mil,bucks
Hawks,Atlanta,Georgia,Philips Arena,NBA,atl,hawks
Hornets,Charlotte,North Carolina,Time Warner Cable Arena,NBA,cha,hornets
Heat,Miami,Florida,AmericanAirlines Arena,NBA,mia,heat
Magic,Orlando,Florida,Amway Center,NBA,orl,magic
Wizards,Washington,D.C.,Verizon Center,NBA,wsh,wizards
Nuggets,Denver,Colorado,Pepsi Center,NBA,den,nuggets
Timberwolves,Minneapolis,Minnesota,Target Center,NBA,min,timberwolves
Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena,NBA,okc,thunder
Trail Blazers,Portland,Oregon,Rose Garden,NBA,por,trailBlazers
Jazz,Salt Lake City,Utah,EnergySolutions Arena,NBA,uta,jazz
Warriors,Golden State,California,Oracle Arena,NBA,gs,warriors
Clippers,Los Angeles,California,Staples Center,NBA,lac,clippers
Lakers,Los Angeles,California,Staples Center,NBA,lal,lakers
Suns,Phoenix,Arizona,US Airways Center,NBA,phx,suns
Kings,Sacramento,California,Power Balance Pavilion,NBA,sac,kings-1
Mavericks,Dallas,Texas,American Airlines Center,NBA,dal,mavericks
Rockets,Houston,Texas,Toyota Center,NBA,hou,rockets
Grizzlies,Memphis,Tennessee,FedExForum,NBA,mem,grizzlies
Pelicans,New Orleans,Louisiana,New Orleans Arena,NBA,no,pelicans
Spurs,San Antonio,Texas,AT&T Center,NBA,sa,spurs
Braves,Atlanta,Georgia,Turner Field,MLB,atl,braves
Marlins,Miami,Florida,Marlins Park,MLB,mia,marlins
Mets,New York,New York,Citi Field,MLB,nym,mets
Phillies,Philadelphia,Pennsylvania,Citizens Bank Park,MLB,phi,phillies
Nationals,Washington,D.C.,Nationals Park,MLB,wash,nationals
Cubs,Chicago,Illinois,Wrigley Field,MLB,chc,cubs
Reds,Cincinnati,Ohio,Great American Ball Park,MLB,cin,reds
Brewers,Milwaukee,Wisconsin,Miller Park,MLB,mil,brewers
Pirates,Pittsburgh,Pennsylvania,PNC Park,MLB,pit,pirates
Cardinals,St. Louis,Missouri,Busch Stadium,MLB,stl,cardinals-1
Diamondbacks,Arizona,Arizona,Chase Field,MLB,ari,diamondbacks
Rockies,Colorado,Colorado,Coors Field,MLB,col,rockies
Dodgers,Los Angeles,California,Dodger Stadium,MLB,lad,dodgers
Padres,San Diego,California,PETCO Park,MLB,sd,padres
Giants,San Francisco,California,AT&T Park,MLB,sf,giants-1
Orioles,Baltimore,Maryland,Oriole Park at Camden Yards,MLB,bal,orioles
Red Sox,Boston,Massachusetts,Fenway Park,MLB,bos,redSox
Yankees,New York,New York,Yankee Stadium,MLB,nyy,yankees
Rays,Tampa Bay,Florida,Tropicana Field,MLB,tb,rays
